route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,block_id,direction_id,exceptional
L251D99,1,3060,"Boskovice, aut.st.",1,,1,0
L251D99,1,3061,"Velké Opatovice, aut.st.",1,,0,0
L253D99,1,3062,"Velké Opatovice, aut.st.",2,,0,0
L253D99,1,3063,"Boskovice, 17. listopadu",2,,1,0
L251D99,1,3064,"Jevíčko, nám.",2,,0,0
L291D99,1,3065,"Horní Štěpánov, točna",2,,0,1
L291D99,1,3066,"Jevíčko, nám.",2,121,1,1
L251D99,1,3067,"Boskovice, aut.st.",2,121,1,0
L251D99,1,3068,"Jevíčko, nám.",2,,0,0
L251D99,1,3069,"Boskovice, aut.st.",2,,1,0
L253D99,1,3070,"Velké Opatovice, aut.st.",1,,0,0
L253D99,1,3071,"Boskovice, 17. listopadu",1,,1,0
L251D99,1,3072,"Jevíčko, nám.",1,,0,0
L290D99,1,3073,"Cetkovice",1,,1,0
L290D99,1,3074,"Jevíčko, nám.",1,,0,0
L251D99,1,3075,"Boskovice, aut.st.",1,,1,0
L251D99,1,3076,"Jevíčko, nám.",1,,0,0
L291D99,1,3077,"Horní Štěpánov, točna",1,,0,1
L291D99,1,3078,"Jevíčko, nám.",1,122,1,1
L251D99,1,3079,"Boskovice, aut.st.",1,122,1,0
L253D99,1,3080,"Velké Opatovice, aut.st.",1,,0,0
L253D99,1,3081,"Boskovice, aut.st.",1,,1,0
L253D99,1,3082,"Velké Opatovice, aut.st.",1,,0,0
L253D99,1,3083,"Boskovice, aut.st.",1,,1,0
L253D99,1,3084,"Boskovice, aut.st.",1,,1,0
L256D99,1,3085,"Sebranice, ALPS",1,,0,0
L256D99,1,3086,"Boskovice, aut.st.",1,123,1,0
L262D99,1,3087,"Kořenec, točna",1,123,0,0
L262D99,1,3088,"Boskovice, nemocnice",1,,1,0
L251D99,1,3089,"Jevíčko, nám.",1,,0,0
L290D99,1,3090,"Cetkovice",1,,1,0
L290D99,1,3091,"Úsobrno, závod",1,,0,0
